rango_edad,descripcion
NIÑOS,De 0 - 12
ADOLESCENTES,De 13 - 17
JÓVENES ADULTOS,De 18 - 24
ADULTOS JÓVENES,De 25 - 35
ADULTOS,De 36 - 50
ADULTOS MAYORES,De 51 - 65
TERCERA EDAD,De 66 a más
